order_id,order_date,ship_date,delivery_date,customer_id,region,state,city,sales_channel,payment_method,shipping_type,coupon_code,order_status,is_first_order,customer_order_number,order_gross_sales,item_discount_amount,coupon_discount_amount,order_net_sales,shipping_fee,tax_amount,order_total,order_cogs,order_gross_profit
O500599,2024-07-22,2024-07-23,2024-07-27,C100237,South,Texas,Austin,Mobile App,Credit Card,Express,,Delivered,True,1,75.54,0.0,0.0,75.54,11.99,5.58,93.11,57.07,18.47
O500600,2024-12-26,2024-12-28,2024-12-31,C100237,South,Texas,Austin,Website,Apple Pay,Standard,SPRING15,Delivered,False,2,227.2,18.18,10.45,198.57,0.0,13.53,212.1,144.26,54.31
O500601,2025-01-06,2025-01-09,2025-01-11,C100237,South,Texas,Austin,Website,Google Pay,Standard,BF2024,Delivered,False,3,98.13,9.82,2.65,85.66,5.99,6.28,97.93,55.18,30.48
O500602,2025-06-15,2025-06-17,2025-06-19,C100237,South,Texas,Austin,Mobile App,Credit Card,Standard,WELCOME10,Delivered,False,4,85.98,7.22,3.94,74.82,5.99,5.69,86.5,50.36,24.46
O500603,2024-01-03,2024-01-05,2024-01-08,C100238,Midwest,Ohio,Cleveland,Marketplace,Buy Now Pay Later,Standard,,Delivered,True,1,332.83,8.94,0.0,323.89,0.0,19.39,343.28,240.93,82.96
O500604,2024-02-01,2024-02-03,2024-02-07,C100238,Midwest,Ohio,Cleveland,Website,Google Pay,Standard,SPRING15,Delivered,False,2,488.88,42.32,22.33,424.23,0.0,34.95,459.18,277.51,146.72
O500605,2024-06-15,2024-06-16,2024-06-19,C100238,Midwest,Ohio,Cleveland,Marketplace,Credit Card,Standard,SPRING15,Delivered,False,3,151.74,7.59,4.32,139.83,0.0,12.71,152.54,89.64,50.19
O500606,2024-08-18,2024-08-20,2024-08-24,C100238,Midwest,Ohio,Cleveland,Website,Apple Pay,Standard,BF2024,Delivered,False,4,45.29,4.53,0.0,40.76,5.99,2.77,49.52,18.29,22.47
O500607,2025-05-01,2025-05-05,2025-05-10,C100239,South,Florida,Jacksonville,Marketplace,Credit Card,Standard,FREESHIP,Delivered,True,1,247.47,0.0,0.0,247.47,0.0,18.14,265.61,145.93,101.54
O500608,2025-05-26,2025-05-28,2025-06-01,C100239,South,Florida,Jacksonville,Mobile App,Apple Pay,Standard,WELCOME10,Delivered,False,2,285.26,23.67,7.85,253.74,0.0,16.41,270.15,193.76,59.98
O500609,2024-12-07,2024-12-09,2024-12-13,C100241,West,Arizona,Phoenix,Website,Credit Card,Standard,,Delivered,True,1,108.44,0.0,0.0,108.44,0.0,6.01,114.45,73.21,35.23
O500610,2025-04-06,2025-04-09,2025-04-11,C100243,West,California,Los Angeles,Mobile App,PayPal,Standard,,Delivered,True,1,166.81,0.0,0.0,166.81,0.0,11.18,177.99,108.89,57.92
O500611,2024-01-01,2024-01-03,2024-01-09,C100244,South,Texas,Austin,Website,Apple Pay,Standard,SUMMER10,Delivered,True,1,104.26,8.34,4.8,91.12,5.99,6.71,103.82,61.09,30.03
O500612,2024-12-10,2024-12-13,2024-12-16,C100244,South,Texas,Austin,Mobile App,Credit Card,Standard,,Delivered,False,2,186.57,0.0,0.0,186.57,0.0,12.26,198.83,114.28,72.29
O500613,2024-12-27,2024-12-29,2025-01-01,C100244,South,Texas,Austin,Website,Buy Now Pay Later,Same Day,VIP20,Delivered,False,3,77.81,9.34,0.0,68.47,18.99,6.13,93.59,42.96,25.51
O500614,2024-02-17,2024-02-20,2024-02-24,C100245,West,Washington,Bellevue,Website,PayPal,Standard,,Delivered,True,1,168.18,0.0,0.0,168.18,0.0,15.8,183.98,120.37,47.81
O500615,2024-04-05,2024-04-09,2024-04-12,C100245,West,Washington,Bellevue,Mobile App,Apple Pay,Standard,WELCOME10,Delivered,False,2,82.11,6.57,2.27,73.27,5.99,4.91,84.17,38.33,34.94
O500616,2025-04-13,2025-04-14,2025-04-20,C100245,West,Washington,Bellevue,Website,Credit Card,Standard,,Delivered,False,3,138.58,0.0,0.0,138.58,0.0,10.92,149.5,96.28,42.3
O500617,2025-06-02,2025-06-05,2025-06-10,C100245,West,Washington,Bellevue,Marketplace,Credit Card,Standard,,Delivered,False,4,32.41,0.0,0.0,32.41,5.99,2.24,40.64,23.12,9.29
O500618,2024-12-11,2024-12-14,2024-12-18,C100246,West,California,San Jose,Website,Apple Pay,Standard,,Delivered,True,1,71.34,4.32,0.0,67.02,5.99,5.51,78.52,45.7,21.32
O500619,2025-03-11,2025-03-13,2025-03-17,C100246,West,California,San Jose,Website,Credit Card,Express,,Delivered,False,2,38.3,0.0,0.0,38.3,11.99,2.98,53.27,21.54,16.76
O500620,2024-01-09,2024-01-10,2024-01-13,C100247,Northeast,New York,Rochester,Website,PayPal,Standard,WELCOME10,Delivered,True,1,139.32,11.15,6.41,121.76,0.0,9.21,130.97,75.62,46.14
O500621,2024-01-19,2024-01-21,2024-01-25,C100247,Northeast,New York,Rochester,Marketplace,Apple Pay,Standard,WELCOME10,Delivered,False,2,269.98,21.6,0.0,248.38,0.0,19.91,268.29,196.38,52.0
O500622,2024-03-06,2024-03-08,2024-03-13,C100247,Northeast,New York,Rochester,Website,Apple Pay,Standard,,Delivered,False,3,195.81,0.0,0.0,195.81,0.0,11.11,206.92,114.4,81.41
O500623,2024-11-29,2024-11-30,2024-12-02,C100247,Northeast,New York,Rochester,Marketplace,Credit Card,Express,,Delivered,False,4,82.39,4.12,0.0,78.27,11.99,5.34,95.6,46.79,31.48
O500624,2024-01-29,2024-02-02,2024-02-06,C100248,Northeast,New York,New York,Website,Credit Card,Standard,SPRING15,Delivered,True,1,34.23,2.74,0.0,31.49,5.99,2.24,39.72,21.18,10.31
O500625,2024-02-08,2024-02-12,2024-02-18,C100248,Northeast,New York,New York,Mobile App,PayPal,Standard,,Delivered,False,2,129.44,0.0,0.0,129.44,0.0,10.49,139.93,80.99,48.45
O500626,2024-02-20,2024-02-21,2024-02-23,C100248,Northeast,New York,New York,Website,PayPal,Standard,FREESHIP,Delivered,False,3,244.2,7.98,0.0,236.22,0.0,21.0,257.22,163.1,73.12
O500627,2024-05-17,2024-05-21,2024-05-26,C100248,Northeast,New York,New York,Website,Apple Pay,Express,VIP20,Delivered,False,4,758.92,91.08,20.04,647.8,6.0,47.29,701.09,361.05,286.75
O500628,2024-08-26,2024-08-28,2024-08-31,C100248,Northeast,New York,New York,Mobile App,Credit Card,Standard,,Delivered,False,5,116.15,0.0,0.0,116.15,0.0,7.24,123.39,59.51,56.64
O500629,2025-06-21,2025-06-22,2025-06-27,C100248,Northeast,New York,New York,Website,Credit Card,Standard,BF2024,Delivered,False,6,35.62,3.56,0.0,32.06,5.99,2.84,40.89,21.18,10.88
O500630,2024-04-04,2024-04-06,2024-04-09,C100249,Midwest,Ohio,Columbus,Mobile App,PayPal,Standard,BF2024,Delivered,True,1,155.49,15.55,0.0,139.94,0.0,9.44,149.38,108.89,31.05
O500631,2024-04-25,2024-04-26,2024-04-29,C100249,Midwest,Ohio,Columbus,Mobile App,Credit Card,Express,,Delivered,False,2,19.75,0.99,0.0,18.76,11.99,1.44,32.19,12.23,6.53
O500632,2024-06-05,2024-06-07,2024-06-10,C100249,Midwest,Ohio,Columbus,Website,Credit Card,Standard,,Delivered,False,3,207.79,0.0,0.0,207.79,0.0,13.6,221.39,113.76,94.03
O500633,2024-09-24,2024-09-26,2024-09-30,C100249,Midwest,Ohio,Columbus,Website,Credit Card,Standard,FREESHIP,Delivered,False,4,57.23,0.0,0.0,57.23,0.0,4.19,61.42,25.09,32.14
O500634,2024-12-16,2024-12-17,2024-12-21,C100250,Midwest,Ohio,Cleveland,Website,Credit Card,Standard,FREESHIP,Delivered,True,1,41.89,0.0,0.0,41.89,0.0,2.36,44.25,21.82,20.07
O500635,2025-04-15,2025-04-18,2025-04-22,C100250,Midwest,Ohio,Cleveland,Website,Credit Card,Standard,,Delivered,False,2,157.05,0.0,0.0,157.05,0.0,13.89,170.94,101.8,55.25
O500636,2024-07-15,,,C100251,Northeast,New York,Buffalo,Mobile App,Credit Card,Standard,FREESHIP,Cancelled,True,1,293.83,0.0,0.0,0.0,0.0,0.0,0.0,160.29,0.0
O500637,2024-08-12,2024-08-13,2024-08-16,C100251,Northeast,New York,Buffalo,Marketplace,Credit Card,Standard,VIP20,Delivered,False,2,165.35,19.84,0.0,145.51,0.0,10.81,156.32,78.43,67.08
O500638,2024-11-28,2024-11-30,2024-12-03,C100252,West,California,Sacramento,Mobile App,Credit Card,Standard,,Delivered,True,1,189.04,0.0,0.0,189.04,0.0,12.92,201.96,107.42,81.62
O500639,2025-04-01,2025-04-02,2025-04-06,C100252,West,California,Sacramento,Website,Credit Card,Standard,,Delivered,False,2,76.06,0.0,0.0,76.06,5.99,5.34,87.39,57.07,18.99
O500640,2024-03-23,2024-03-24,2024-03-27,C100254,West,California,San Diego,Mobile App,Credit Card,Standard,WELCOME10,Delivered,True,1,424.92,42.49,11.47,370.96,0.0,28.67,399.63,227.55,143.41
O500641,2025-01-01,2025-01-02,2025-01-06,C100254,West,California,San Diego,Website,Credit Card,Standard,FREESHIP,Delivered,False,2,278.43,0.0,0.0,278.43,0.0,21.33,299.76,142.73,135.7
O500642,2025-03-25,2025-03-29,2025-04-01,C100254,West,California,San Diego,Mobile App,Google Pay,Standard,SUMMER10,Delivered,False,3,125.62,10.68,0.0,114.94,0.0,7.16,122.1,86.4,28.54
O500643,2024-11-27,2024-11-30,2024-12-02,C100255,West,Washington,Tacoma,Mobile App,PayPal,Standard,WELCOME10,Delivered,True,1,402.61,38.1,10.94,353.57,0.0,29.25,382.82,243.34,110.23
O500644,2024-01-22,2024-01-25,2024-01-29,C100256,South,Georgia,Savannah,Website,Apple Pay,Express,,Delivered,True,1,421.8,0.0,0.0,421.8,6.0,34.49,462.29,230.31,191.49
O500645,2024-02-25,2024-02-28,2024-03-01,C100256,South,Georgia,Savannah,Website,PayPal,Express,VIP20,Delivered,False,2,167.79,20.13,7.38,140.28,6.0,8.12,154.4,97.42,42.86
O500646,2024-12-14,2024-12-17,2024-12-21,C100256,South,Georgia,Savannah,Marketplace,Credit Card,Standard,NEWYEAR10,Delivered,False,3,35.4,3.54,0.0,31.86,5.99,1.96,39.81,13.5,18.36
O500647,2025-01-05,2025-01-08,2025-01-10,C100256,South,Georgia,Savannah,Mobile App,Credit Card,Standard,BF2024,Delivered,False,4,196.95,19.7,0.0,177.25,0.0,16.84,194.09,113.76,63.49
O500648,2025-05-12,2025-05-15,2025-05-19,C100258,Northeast,New York,Rochester,Website,Credit Card,Standard,SPRING15,Delivered,True,1,178.48,14.28,0.0,164.2,0.0,11.82,176.02,99.13,65.07
O500649,2025-06-06,2025-06-08,2025-06-14,C100258,Northeast,New York,Rochester,Marketplace,Credit Card,Standard,,Delivered,False,2,187.95,3.42,0.0,184.53,0.0,13.49,198.02,103.94,80.59
O500650,2024-09-09,2024-09-12,2024-09-16,C100259,West,California,San Francisco,Mobile App,Apple Pay,Standard,VIP20,Delivered,True,1,343.8,41.26,15.13,287.41,0.0,24.67,312.08,210.83,76.58
O500651,2024-11-01,2024-11-04,2024-11-08,C100259,West,California,San Francisco,Marketplace,Credit Card,Standard,SPRING15,Delivered,False,2,528.18,46.64,14.45,467.09,0.0,34.9,501.99,387.85,79.24
O500652,2024-07-13,2024-07-15,2024-07-18,C100260,West,California,Sacramento,Website,Credit Card,Same Day,,Delivered,True,1,130.38,0.0,0.0,130.38,13.0,7.65,151.03,79.19,51.19
O500653,2024-01-17,2024-01-18,2024-01-20,C100261,South,Florida,Orlando,Website,Credit Card,Express,SPRING15,Delivered,True,1,230.93,19.71,10.56,200.66,6.0,14.35,221.01,151.95,48.71
O500654,2025-02-25,2025-02-26,2025-03-02,C100261,South,Florida,Orlando,Mobile App,Buy Now Pay Later,Standard,NEWYEAR10,Delivered,False,2,322.51,25.72,0.0,296.79,0.0,26.14,322.93,217.88,78.91
O500655,2025-03-27,2025-03-31,2025-04-02,C100261,South,Florida,Orlando,Website,Buy Now Pay Later,Express,NEWYEAR10,Delivered,False,3,367.2,29.38,16.89,320.93,6.0,23.67,350.6,214.11,106.82
O500656,2025-05-03,2025-05-05,2025-05-09,C100261,South,Florida,Orlando,Website,Apple Pay,Standard,,Delivered,False,4,32.82,0.0,0.0,32.82,5.99,2.58,41.39,21.95,10.87
O500657,2025-06-28,2025-07-01,2025-07-05,C100261,South,Florida,Orlando,Website,Credit Card,Standard,,Delivered,False,5,246.28,0.0,0.0,246.28,0.0,21.9,268.18,140.03,106.25
O500658,2025-05-13,2025-05-16,2025-05-19,C100262,Northeast,New York,Rochester,Website,PayPal,Express,NEWYEAR10,Delivered,True,1,141.28,7.06,6.71,127.51,6.0,7.08,140.59,54.23,73.28
O500659,2025-02-28,2025-03-01,2025-03-06,C100263,West,Arizona,Phoenix,Marketplace,Credit Card,Standard,FREESHIP,Delivered,True,1,60.24,0.0,0.0,60.24,0.0,5.66,65.9,36.21,24.03
O500660,2025-03-01,2025-03-03,2025-03-07,C100265,South,Texas,San Antonio,Website,Credit Card,Standard,,Delivered,True,1,305.15,0.0,0.0,305.15,0.0,24.42,329.57,141.51,163.64
O500661,2025-03-16,2025-03-18,2025-03-21,C100265,South,Texas,San Antonio,Mobile App,Buy Now Pay Later,Express,WELCOME10,Delivered,False,2,64.01,6.4,2.88,54.73,11.99,4.26,70.98,38.98,15.75
O500662,2024-03-20,2024-03-21,2024-03-23,C100267,West,California,Sacramento,Website,Credit Card,Standard,BF2024,Delivered,True,1,135.74,13.57,0.0,122.17,0.0,7.48,129.65,83.27,38.9
O500663,2024-08-16,2024-08-19,2024-08-22,C100267,West,California,Sacramento,Website,Credit Card,Standard,,Delivered,False,2,116.43,0.0,0.0,116.43,0.0,8.97,125.4,76.23,40.2
O500664,2024-09-22,2024-09-25,2024-09-28,C100267,West,California,Sacramento,Mobile App,Credit Card,Standard,BF2024,Delivered,False,3,198.44,19.84,5.36,173.24,0.0,14.87,188.11,139.65,33.59
O500665,2024-10-17,2024-10-20,2024-10-23,C100267,West,California,Sacramento,Website,Credit Card,Same Day,,Delivered,False,4,88.83,0.0,0.0,88.83,18.99,8.02,115.84,72.43,16.4
O500666,2024-12-13,2024-12-16,2024-12-19,C100267,West,California,Sacramento,Website,Credit Card,Same Day,VIP20,Delivered,False,5,80.21,9.63,0.0,70.58,18.99,5.5,95.07,36.62,33.96
O500667,2024-12-24,2024-12-27,2024-12-29,C100267,West,California,Sacramento,Website,PayPal,Standard,SPRING15,Delivered,False,6,23.97,1.2,0.0,22.77,5.99,1.77,30.53,12.28,10.49
O500668,2024-05-11,2024-05-13,2024-05-17,C100268,South,Texas,Dallas,Website,Credit Card,Same Day,,Delivered,True,1,103.51,0.0,0.0,103.51,13.0,9.83,126.34,64.27,39.24
O500669,2024-06-08,2024-06-09,2024-06-12,C100268,South,Texas,Dallas,Mobile App,Credit Card,Standard,,Delivered,False,2,121.3,1.62,0.0,119.68,0.0,10.64,130.32,60.3,59.38
O500670,2024-11-28,2024-11-30,2024-12-04,C100268,South,Texas,Dallas,Website,Credit Card,Standard,,Delivered,False,3,15.05,0.0,0.0,15.05,5.99,1.36,22.4,10.85,4.2
O500671,2024-05-06,2024-05-08,2024-05-11,C100269,Midwest,Illinois,Springfield,Website,Credit Card,Express,SUMMER10,Delivered,True,1,49.88,4.34,2.28,43.26,11.99,3.99,59.24,28.7,14.56
O500672,2024-10-27,2024-10-29,2024-11-01,C100269,Midwest,Illinois,Springfield,Marketplace,Credit Card,Express,NEWYEAR10,Delivered,False,2,316.01,22.54,8.8,284.67,6.0,17.78,308.45,160.36,124.31
O500673,2024-12-10,2024-12-11,2024-12-15,C100269,Midwest,Illinois,Springfield,Marketplace,Buy Now Pay Later,Standard,,Delivered,False,3,198.03,0.0,0.0,198.03,0.0,16.11,214.14,113.76,84.27
O500674,2024-11-14,2024-11-18,2024-11-23,C100271,West,Colorado,Denver,Website,PayPal,Standard,,Delivered,True,1,200.4,0.0,0.0,200.4,0.0,14.33,214.73,102.46,97.94
O500675,2025-04-08,2025-04-12,2025-04-15,C100271,West,Colorado,Denver,Website,Credit Card,Same Day,,Delivered,False,2,403.04,0.0,0.0,403.04,13.0,35.36,451.4,269.82,133.22
O500676,2024-01-26,2024-01-28,2024-01-31,C100274,West,California,San Francisco,Website,Apple Pay,Standard,,Delivered,True,1,212.3,8.46,0.0,203.84,0.0,12.43,216.27,114.15,89.69
O500677,2024-09-19,2024-09-23,2024-09-27,C100274,West,California,San Francisco,Marketplace,Credit Card,Standard,FREESHIP,Delivered,False,2,204.44,0.0,0.0,204.44,0.0,16.19,220.63,107.42,97.02
O500678,2024-12-20,2024-12-22,2024-12-24,C100278,West,California,San Jose,Marketplace,Credit Card,Express,BF2024,Delivered,True,1,196.5,19.65,0.0,176.85,6.0,16.64,199.49,106.94,69.91
O500679,2024-03-11,2024-03-13,2024-03-16,C100279,Northeast,New York,Buffalo,Mobile App,Google Pay,Express,,Delivered,True,1,38.84,0.0,0.0,38.84,11.99,2.8,53.63,18.33,20.51
O500680,2024-03-30,2024-03-31,2024-04-03,C100279,Northeast,New York,Buffalo,Mobile App,Apple Pay,Standard,FREESHIP,Delivered,False,2,153.32,0.0,0.0,153.32,0.0,14.28,167.6,82.28,71.04
O500681,2024-12-01,2024-12-03,2024-12-06,C100279,Northeast,New York,Buffalo,Website,Apple Pay,Standard,SPRING15,Delivered,False,3,468.58,37.49,12.93,418.16,0.0,37.86,456.02,283.82,134.34
O500682,2025-01-17,2025-01-19,2025-01-23,C100279,Northeast,New York,Buffalo,Mobile App,Google Pay,Standard,NEWYEAR10,Delivered,False,4,170.72,13.65,4.71,152.36,0.0,11.56,163.92,92.67,59.69
O500683,2025-02-14,2025-02-17,2025-02-21,C100279,Northeast,New York,Buffalo,Website,Credit Card,Standard,SUMMER10,Delivered,False,5,372.65,32.71,10.2,329.74,0.0,22.36,352.1,231.63,98.11
O500684,2025-05-22,2025-05-24,2025-05-29,C100280,West,Washington,Bellevue,Website,Credit Card,Standard,VIP20,Delivered,True,1,169.14,20.3,4.47,144.37,0.0,11.9,156.27,87.53,56.84
O500685,2025-03-11,,,C100281,Northeast,New York,Rochester,Website,Credit Card,Standard,FREESHIP,Cancelled,True,1,59.39,0.0,0.0,0.0,0.0,0.0,0.0,33.6,0.0
O500686,2024-03-01,2024-03-03,2024-03-06,C100282,Northeast,New York,Rochester,Website,Credit Card,Standard,SPRING15,Delivered,True,1,209.0,16.71,5.77,186.52,0.0,17.08,203.6,122.23,64.29
O500687,2025-01-07,2025-01-08,2025-01-13,C100282,Northeast,New York,Rochester,Marketplace,Credit Card,Express,,Delivered,False,2,42.4,0.0,0.0,42.4,11.99,3.1,57.49,20.72,21.68
O500688,2025-05-06,2025-05-08,2025-05-12,C100282,Northeast,New York,Rochester,Mobile App,Credit Card,Standard,WELCOME10,Delivered,False,3,53.2,2.66,0.0,50.54,5.99,3.35,59.88,20.47,30.07
O500689,2024-11-29,2024-11-30,2024-12-04,C100283,West,California,San Jose,Mobile App,Apple Pay,Express,,Delivered,True,1,218.85,0.0,0.0,218.85,6.0,20.46,245.31,109.21,109.64
O500690,2025-01-31,2025-02-01,2025-02-05,C100283,West,California,San Jose,Website,Credit Card,Express,FREESHIP,Delivered,False,2,244.85,0.0,0.0,244.85,6.0,16.71,267.56,135.99,108.86
O500691,2025-03-27,2025-03-28,2025-04-02,C100283,West,California,San Jose,Mobile App,Credit Card,Standard,FREESHIP,Delivered,False,3,631.96,0.0,0.0,631.96,0.0,41.51,673.47,367.36,264.6
O500692,2025-06-07,2025-06-08,2025-06-11,C100283,West,California,San Jose,Website,Apple Pay,Same Day,VIP20,Delivered,False,4,194.32,23.32,0.0,171.0,13.0,16.06,200.06,110.79,60.21
O500693,2024-03-03,2024-03-05,2024-03-08,C100284,West,Colorado,Boulder,Website,Credit Card,Standard,FREESHIP,Delivered,True,1,15.79,0.0,0.0,15.79,0.0,0.94,16.73,10.85,4.94
O500694,2024-04-10,2024-04-13,2024-04-17,C100284,West,Colorado,Boulder,Marketplace,Credit Card,Standard,,Delivered,False,2,55.41,0.0,0.0,55.41,5.99,3.06,64.46,29.64,25.77
O500695,2024-08-16,2024-08-18,2024-08-21,C100284,West,Colorado,Boulder,Website,Credit Card,Express,VIP20,Delivered,False,3,50.13,6.02,2.21,41.9,11.99,2.31,56.2,26.97,14.93
O500696,2025-05-26,2025-05-28,2025-06-01,C100285,Northeast,Massachusetts,Boston,Website,Credit Card,Express,WELCOME10,Delivered,True,1,59.1,4.73,1.63,52.74,11.99,2.91,67.64,23.03,29.71
O500697,2025-06-06,2025-06-08,2025-06-12,C100285,Northeast,Massachusetts,Boston,Mobile App,Credit Card,Express,,Delivered,False,2,76.58,0.0,0.0,76.58,11.99,5.42,93.99,50.27,26.31
O500698,2024-09-08,2024-09-11,2024-09-14,C100286,West,Arizona,Tempe,Website,Buy Now Pay Later,Standard,WELCOME10,Delivered,True,1,101.78,10.18,2.75,88.85,5.99,6.92,101.76,63.23,25.62
O500699,2025-04-01,2025-04-02,2025-04-05,C100286,West,Arizona,Tempe,Website,Apple Pay,Standard,SPRING15,Delivered,False,2,239.73,17.26,0.0,222.47,0.0,18.69,241.16,144.55,77.92
O500700,2024-04-20,2024-04-22,2024-04-24,C100287,South,Florida,Jacksonville,Mobile App,Buy Now Pay Later,Express,BF2024,Delivered,True,1,140.84,14.08,0.0,126.76,6.0,11.47,144.23,69.53,57.23
O500701,2024-12-20,2024-12-22,2024-12-26,C100287,South,Florida,Jacksonville,Mobile App,Credit Card,Standard,FREESHIP,Delivered,False,2,67.05,0.0,0.0,67.05,0.0,3.82,70.87,42.04,25.01
O500702,2025-02-22,2025-02-25,2025-02-28,C100287,South,Florida,Jacksonville,Website,Credit Card,Standard,NEWYEAR10,Delivered,False,3,298.33,24.75,8.21,265.37,0.0,15.72,281.09,149.9,115.47
O500703,2025-02-06,2025-02-08,2025-02-10,C100288,South,North Carolina,Raleigh,Website,Apple Pay,Standard,WELCOME10,Delivered,True,1,59.01,4.72,0.0,54.29,5.99,4.76,65.04,36.21,18.08
O500704,2024-10-23,2024-10-27,2024-10-29,C100290,South,Florida,Orlando,Marketplace,Credit Card,Same Day,,Delivered,True,1,439.63,0.0,0.0,439.63,13.0,30.97,483.6,254.57,185.06
O500705,2024-12-03,2024-12-05,2024-12-07,C100290,South,Florida,Orlando,Website,Credit Card,Same Day,,Delivered,False,2,246.39,0.0,0.0,246.39,13.0,21.86,281.25,157.62,88.77
O500706,2024-12-17,2024-12-18,2024-12-22,C100290,South,Florida,Orlando,Website,Apple Pay,Standard,,Delivered,False,3,74.28,2.97,0.0,71.31,5.99,6.59,83.89,49.83,21.48
O500707,2024-04-10,2024-04-13,2024-04-15,C100291,West,California,San Diego,Website,PayPal,Standard,VIP20,Delivered,True,1,77.2,9.26,2.04,65.9,5.99,4.73,76.62,36.66,29.24
O500708,2024-06-01,2024-06-03,2024-06-06,C100291,West,California,San Diego,Mobile App,PayPal,Express,,Delivered,False,2,152.56,0.0,0.0,152.56,6.0,12.79,171.35,77.35,75.21
O500709,2024-06-05,2024-06-08,2024-06-11,C100291,West,California,San Diego,Mobile App,Credit Card,Express,BF2024,Delivered,False,3,223.23,22.32,0.0,200.91,6.0,18.56,225.47,123.13,77.78
O500710,2024-08-31,2024-09-04,2024-09-07,C100291,West,California,San Diego,Website,PayPal,Standard,,Delivered,False,4,330.73,0.0,0.0,330.73,0.0,27.85,358.58,230.36,100.37
O500711,2024-11-14,2024-11-17,2024-11-22,C100291,West,California,San Diego,Website,Apple Pay,Standard,SUMMER10,Delivered,False,5,159.15,12.73,4.39,142.03,0.0,12.74,154.77,100.13,41.9
O500712,2024-11-15,2024-11-17,2024-11-20,C100291,West,California,San Diego,Mobile App,Credit Card,Standard,,Delivered,False,6,159.95,0.0,0.0,159.95,0.0,9.58,169.53,65.0,94.95
O500713,2025-05-04,2025-05-06,2025-05-11,C100291,West,California,San Diego,Mobile App,Buy Now Pay Later,Standard,,Delivered,False,7,35.38,0.0,0.0,35.38,5.99,2.72,44.09,21.8,13.58
O500714,2025-06-03,2025-06-04,2025-06-07,C100291,West,California,San Diego,Website,PayPal,Express,BF2024,Delivered,False,8,89.54,8.95,2.42,78.17,11.99,6.53,96.69,60.95,17.22
O500715,2025-02-11,2025-02-13,2025-02-17,C100292,South,North Carolina,Charlotte,Website,PayPal,Standard,BF2024,Delivered,True,1,164.94,16.5,4.45,143.99,0.0,9.94,153.93,96.69,47.3
O500716,2025-02-11,2025-02-12,2025-02-16,C100293,South,Florida,Orlando,Website,Credit Card,Express,VIP20,Delivered,True,1,219.68,26.36,5.8,187.52,6.0,16.83,210.35,117.73,69.79
O500717,2024-06-01,2024-06-04,2024-06-07,C100294,West,California,Sacramento,Website,Apple Pay,Standard,SPRING15,Delivered,True,1,113.55,9.09,5.22,99.24,0.0,9.18,108.42,47.78,51.46
O500718,2024-07-07,2024-07-10,2024-07-16,C100294,West,California,Sacramento,Marketplace,Credit Card,Express,WELCOME10,Delivered,False,2,318.46,25.48,0.0,292.98,6.0,21.28,320.26,240.74,52.24
O500719,2024-01-02,2024-01-05,2024-01-08,C100295,Midwest,Illinois,Springfield,Mobile App,PayPal,Express,SUMMER10,Delivered,True,1,158.34,12.67,0.0,145.67,6.0,9.45,161.12,103.82,41.85
O500720,2024-04-12,2024-04-13,2024-04-16,C100295,Midwest,Illinois,Springfield,Mobile App,PayPal,Standard,BF2024,Delivered,False,2,127.25,12.72,5.73,108.8,0.0,10.17,118.97,86.03,22.77
O500721,2024-06-01,2024-06-04,2024-06-06,C100295,Midwest,Illinois,Springfield,Website,Credit Card,Express,NEWYEAR10,Delivered,False,3,86.77,4.34,2.47,79.96,11.99,7.44,99.39,43.31,36.65
O500722,2024-07-01,2024-07-03,2024-07-07,C100295,Midwest,Illinois,Springfield,Website,Buy Now Pay Later,Express,WELCOME10,Delivered,False,4,14.88,1.49,0.4,12.99,11.99,0.86,25.84,10.85,2.14
O500723,2024-08-11,2024-08-13,2024-08-15,C100295,Midwest,Illinois,Springfield,Marketplace,Credit Card,Standard,,Delivered,False,5,182.32,8.13,0.0,174.19,0.0,10.84,185.03,91.82,82.37
O500724,2024-08-16,2024-08-18,2024-08-21,C100295,Midwest,Illinois,Springfield,Website,Credit Card,Standard,SPRING15,Delivered,False,6,23.02,2.3,1.04,19.68,5.99,1.14,26.81,12.82,6.86
O500725,2024-09-14,2024-09-17,2024-09-23,C100295,Midwest,Illinois,Springfield,Website,Credit Card,Express,BF2024,Delivered,False,7,171.9,17.19,4.64,150.07,6.0,13.72,169.79,104.08,45.99
O500726,2025-01-09,2025-01-11,2025-01-15,C100295,Midwest,Illinois,Springfield,Mobile App,Credit Card,Standard,SPRING15,Delivered,False,8,123.53,10.35,0.0,113.18,0.0,9.73,122.91,52.21,60.97
O500727,2025-01-13,2025-01-15,2025-01-18,C100296,Midwest,Ohio,Columbus,Website,PayPal,Standard,SUMMER10,Delivered,True,1,35.0,3.5,1.58,29.92,5.99,2.8,38.71,15.31,14.61
O500728,2024-03-09,2024-03-13,2024-03-17,C100297,South,Texas,San Antonio,Website,Credit Card,Standard,BF2024,Delivered,True,1,164.41,16.44,7.4,140.57,0.0,12.65,153.22,105.18,35.39
O500729,2024-10-10,2024-10-14,2024-10-17,C100297,South,Texas,San Antonio,Website,PayPal,Same Day,,Delivered,False,2,34.2,0.0,0.0,34.2,18.99,2.6,55.79,21.95,12.25
O500730,2024-11-02,2024-11-03,2024-11-05,C100297,South,Texas,San Antonio,Website,PayPal,Standard,,Delivered,False,3,429.72,6.21,0.0,423.51,0.0,31.25,454.76,260.78,162.73
